id,diamond_clarity,diamond_color,diamond_shape,carat_start,carat_end,factor
1779,VVS2,M,Pear,0.7,0.89,16.0
1780,VS1,M,Pear,0.7,0.89,16.0
1781,VS2,M,Pear,0.7,0.89,15.0
1782,SI1,M,Pear,0.7,0.89,14.0
1783,SI2,M,Pear,0.7,0.89,13.0
1784,SI3,M,Pear,0.7,0.89,12.0
1785,I1,M,Pear,0.7,0.89,10.0
1786,I2,M,Pear,0.7,0.89,8.0
1787,I3,M,Pear,0.7,0.89,6.0
1788,IF,D,Pear,0.9,0.99,95.0
1789,VVS1,D,Pear,0.9,0.99,79.0
1790,VVS2,D,Pear,0.9,0.99,71.0
1791,VS1,D,Pear,0.9,0.99,63.0
1792,VS2,D,Pear,0.9,0.99,58.0
1793,SI1,D,Pear,0.9,0.99,55.0
1794,SI2,D,Pear,0.9,0.99,46.0
1795,SI3,D,Pear,0.9,0.99,38.0
1796,I1,D,Pear,0.9,0.99,28.0
1797,I2,D,Pear,0.9,0.99,19.0
1798,I3,D,Pear,0.9,0.99,11.0
1799,IF,E,Pear,0.9,0.99,77.0
1800,VVS1,E,Pear,0.9,0.99,71.0
1801,VVS2,E,Pear,0.9,0.99,61.0
1802,VS1,E,Pear,0.9,0.99,57.0
1803,VS2,E,Pear,0.9,0.99,55.0
1804,SI1,E,Pear,0.9,0.99,53.0
1805,SI2,E,Pear,0.9,0.99,44.0
1806,SI3,E,Pear,0.9,0.99,36.0
1807,I1,E,Pear,0.9,0.99,27.0
1808,I2,E,Pear,0.9,0.99,18.0
1809,I3,E,Pear,0.9,0.99,10.0
1810,IF,F,Pear,0.9,0.99,69.0
1811,VVS1,F,Pear,0.9,0.99,61.0
1812,VVS2,F,Pear,0.9,0.99,56.0
1813,VS1,F,Pear,0.9,0.99,54.0
1814,VS2,F,Pear,0.9,0.99,53.0
1815,SI1,F,Pear,0.9,0.99,51.0
1816,SI2,F,Pear,0.9,0.99,43.0
1817,SI3,F,Pear,0.9,0.99,34.0
1818,I1,F,Pear,0.9,0.99,26.0
1819,I2,F,Pear,0.9,0.99,17.0
1820,I3,F,Pear,0.9,0.99,10.0
1821,IF,G,Pear,0.9,0.99,59.0
1822,VVS1,G,Pear,0.9,0.99,56.0
1823,VVS2,G,Pear,0.9,0.99,54.0
1824,VS1,G,Pear,0.9,0.99,53.0
1825,VS2,G,Pear,0.9,0.99,51.0
1826,SI1,G,Pear,0.9,0.99,49.0
1827,SI2,G,Pear,0.9,0.99,41.0
1828,SI3,G,Pear,0.9,0.99,32.0
1829,I1,G,Pear,0.9,0.99,25.0
1830,I2,G,Pear,0.9,0.99,16.0
1831,I3,G,Pear,0.9,0.99,9.0
1832,IF,H,Pear,0.9,0.99,50.0
1833,VVS1,H,Pear,0.9,0.99,49.0
1834,VVS2,H,Pear,0.9,0.99,48.0
1835,VS1,H,Pear,0.9,0.99,47.0
1836,VS2,H,Pear,0.9,0.99,46.0
1837,SI1,H,Pear,0.9,0.99,44.0
1838,SI2,H,Pear,0.9,0.99,39.0
1839,SI3,H,Pear,0.9,0.99,30.0
1840,I1,H,Pear,0.9,0.99,24.0
1841,I2,H,Pear,0.9,0.99,16.0
1842,I3,H,Pear,0.9,0.99,9.0
1843,IF,I,Pear,0.9,0.99,46.0
1844,VVS1,I,Pear,0.9,0.99,45.0
1845,VVS2,I,Pear,0.9,0.99,44.0
1846,VS1,I,Pear,0.9,0.99,42.0
1847,VS2,I,Pear,0.9,0.99,41.0
1848,SI1,I,Pear,0.9,0.99,39.0
1849,SI2,I,Pear,0.9,0.99,35.0
1850,SI3,I,Pear,0.9,0.99,28.0
1851,I1,I,Pear,0.9,0.99,23.0
1852,I2,I,Pear,0.9,0.99,15.0
1853,I3,I,Pear,0.9,0.99,9.0
1854,IF,J,Pear,0.9,0.99,39.0
1855,VVS1,J,Pear,0.9,0.99,38.0
1856,VVS2,J,Pear,0.9,0.99,37.0
1857,VS1,J,Pear,0.9,0.99,36.0
1858,VS2,J,Pear,0.9,0.99,35.0
1859,SI1,J,Pear,0.9,0.99,33.0
1860,SI2,J,Pear,0.9,0.99,29.0
1861,SI3,J,Pear,0.9,0.99,25.0
1862,I1,J,Pear,0.9,0.99,20.0
1863,I2,J,Pear,0.9,0.99,14.0
1864,I3,J,Pear,0.9,0.99,8.0
1865,IF,K,Pear,0.9,0.99,32.0
1866,VVS1,K,Pear,0.9,0.99,31.0
1867,VVS2,K,Pear,0.9,0.99,30.0
1868,VS1,K,Pear,0.9,0.99,29.0
1869,VS2,K,Pear,0.9,0.99,28.0
1870,SI1,K,Pear,0.9,0.99,27.0
1871,SI2,K,Pear,0.9,0.99,25.0
1872,SI3,K,Pear,0.9,0.99,21.0
1873,I1,K,Pear,0.9,0.99,17.0
1874,I2,K,Pear,0.9,0.99,13.0
1875,I3,K,Pear,0.9,0.99,8.0
1876,IF,L,Pear,0.9,0.99,27.0
1877,VVS1,L,Pear,0.9,0.99,26.0
1878,VVS2,L,Pear,0.9,0.99,25.0
1879,VS1,L,Pear,0.9,0.99,24.0
1880,VS2,L,Pear,0.9,0.99,23.0
1881,SI1,L,Pear,0.9,0.99,22.0
1882,SI2,L,Pear,0.9,0.99,21.0
1883,SI3,L,Pear,0.9,0.99,18.0
1884,I1,L,Pear,0.9,0.99,14.0
1885,I2,L,Pear,0.9,0.99,11.0
1886,I3,L,Pear,0.9,0.99,7.0
1887,IF,M,Pear,0.9,0.99,21.0
1888,VVS1,M,Pear,0.9,0.99,20.0
1889,VVS2,M,Pear,0.9,0.99,20.0
1890,VS1,M,Pear,0.9,0.99,19.0
1891,VS2,M,Pear,0.9,0.99,19.0
1892,SI1,M,Pear,0.9,0.99,18.0
1893,SI2,M,Pear,0.9,0.99,17.0
1894,SI3,M,Pear,0.9,0.99,16.0
1895,I1,M,Pear,0.9,0.99,12.0
1896,I2,M,Pear,0.9,0.99,10.0
1897,I3,M,Pear,0.9,0.99,7.0
1898,IF,D,Pear,1.0,1.49,145.0
1899,VVS1,D,Pear,1.0,1.49,110.0
1900,VVS2,D,Pear,1.0,1.49,98.0
1901,VS1,D,Pear,1.0,1.49,80.0
1902,VS2,D,Pear,1.0,1.49,75.0
1903,SI1,D,Pear,1.0,1.49,64.0
1904,SI2,D,Pear,1.0,1.49,55.0
1905,SI3,D,Pear,1.0,1.49,45.0
1906,I1,D,Pear,1.0,1.49,34.0
1907,I2,D,Pear,1.0,1.49,22.0
1908,I3,D,Pear,1.0,1.49,13.0
1909,IF,E,Pear,1.0,1.49,108.0
1910,VVS1,E,Pear,1.0,1.49,98.0
1911,VVS2,E,Pear,1.0,1.49,84.0
1912,VS1,E,Pear,1.0,1.49,75.0
1913,VS2,E,Pear,1.0,1.49,70.0
1914,SI1,E,Pear,1.0,1.49,62.0
1915,SI2,E,Pear,1.0,1.49,53.0
1916,SI3,E,Pear,1.0,1.49,43.0
1917,I1,E,Pear,1.0,1.49,33.0
1918,I2,E,Pear,1.0,1.49,21.0
1919,I3,E,Pear,1.0,1.49,12.0
1920,IF,F,Pear,1.0,1.49,95.0
1921,VVS1,F,Pear,1.0,1.49,85.0
1922,VVS2,F,Pear,1.0,1.49,75.0
1923,VS1,F,Pear,1.0,1.49,70.0
1924,VS2,F,Pear,1.0,1.49,68.0
1925,SI1,F,Pear,1.0,1.49,60.0
1926,SI2,F,Pear,1.0,1.49,51.0
1927,SI3,F,Pear,1.0,1.49,41.0
1928,I1,F,Pear,1.0,1.49,32.0
1929,I2,F,Pear,1.0,1.49,21.0
1930,I3,F,Pear,1.0,1.49,11.0
1931,IF,G,Pear,1.0,1.49,78.0
1932,VVS1,G,Pear,1.0,1.49,72.0
1933,VVS2,G,Pear,1.0,1.49,69.0
1934,VS1,G,Pear,1.0,1.49,66.0
1935,VS2,G,Pear,1.0,1.49,64.0
1936,SI1,G,Pear,1.0,1.49,57.0
1937,SI2,G,Pear,1.0,1.49,49.0
1938,SI3,G,Pear,1.0,1.49,39.0
1939,I1,G,Pear,1.0,1.49,30.0
1940,I2,G,Pear,1.0,1.49,20.0
1941,I3,G,Pear,1.0,1.49,10.0
1942,IF,H,Pear,1.0,1.49,66.0
1943,VVS1,H,Pear,1.0,1.49,60.0
1944,VVS2,H,Pear,1.0,1.49,57.0
1945,VS1,H,Pear,1.0,1.49,56.0
1946,VS2,H,Pear,1.0,1.49,54.0
1947,SI1,H,Pear,1.0,1.49,52.0
1948,SI2,H,Pear,1.0,1.49,46.0
1949,SI3,H,Pear,1.0,1.49,37.0
1950,I1,H,Pear,1.0,1.49,29.0
1951,I2,H,Pear,1.0,1.49,19.0
1952,I3,H,Pear,1.0,1.49,10.0
1953,IF,I,Pear,1.0,1.49,54.0
1954,VVS1,I,Pear,1.0,1.49,52.0
1955,VVS2,I,Pear,1.0,1.49,50.0
1956,VS1,I,Pear,1.0,1.49,49.0
1957,VS2,I,Pear,1.0,1.49,47.0
1958,SI1,I,Pear,1.0,1.49,45.0
1959,SI2,I,Pear,1.0,1.49,41.0
1960,SI3,I,Pear,1.0,1.49,34.0
1961,I1,I,Pear,1.0,1.49,27.0
1962,I2,I,Pear,1.0,1.49,18.0
1963,I3,I,Pear,1.0,1.49,10.0
1964,IF,J,Pear,1.0,1.49,48.0
1965,VVS1,J,Pear,1.0,1.49,45.0
1966,VVS2,J,Pear,1.0,1.49,43.0
1967,VS1,J,Pear,1.0,1.49,41.0
1968,VS2,J,Pear,1.0,1.49,39.0
1969,SI1,J,Pear,1.0,1.49,37.0
1970,SI2,J,Pear,1.0,1.49,35.0
1971,SI3,J,Pear,1.0,1.49,29.0
1972,I1,J,Pear,1.0,1.49,24.0
1973,I2,J,Pear,1.0,1.49,16.0
1974,I3,J,Pear,1.0,1.49,9.0
1975,IF,K,Pear,1.0,1.49,39.0
1976,VVS1,K,Pear,1.0,1.49,36.0
1977,VVS2,K,Pear,1.0,1.49,35.0
1978,VS1,K,Pear,1.0,1.49,33.0
1979,VS2,K,Pear,1.0,1.49,31.0
1980,SI1,K,Pear,1.0,1.49,30.0
1981,SI2,K,Pear,1.0,1.49,28.0
1982,SI3,K,Pear,1.0,1.49,24.0
1983,I1,K,Pear,1.0,1.49,20.0
1984,I2,K,Pear,1.0,1.49,15.0
1985,I3,K,Pear,1.0,1.49,9.0
1986,IF,L,Pear,1.0,1.49,33.0
1987,VVS1,L,Pear,1.0,1.49,31.0
1988,VVS2,L,Pear,1.0,1.49,30.0
1989,VS1,L,Pear,1.0,1.49,29.0
1990,VS2,L,Pear,1.0,1.49,27.0
1991,SI1,L,Pear,1.0,1.49,26.0
1992,SI2,L,Pear,1.0,1.49,25.0
1993,SI3,L,Pear,1.0,1.49,21.0
1994,I1,L,Pear,1.0,1.49,18.0
1995,I2,L,Pear,1.0,1.49,13.0
1996,I3,L,Pear,1.0,1.49,9.0
1997,IF,M,Pear,1.0,1.49,28.0
1998,VVS1,M,Pear,1.0,1.49,26.0
1999,VVS2,M,Pear,1.0,1.49,24.0
2000,VS1,M,Pear,1.0,1.49,23.0
2001,VS2,M,Pear,1.0,1.49,22.0
2002,SI1,M,Pear,1.0,1.49,21.0
2003,SI2,M,Pear,1.0,1.49,20.0
2004,SI3,M,Pear,1.0,1.49,19.0
2005,I1,M,Pear,1.0,1.49,15.0
2006,I2,M,Pear,1.0,1.49,11.0
2007,I3,M,Pear,1.0,1.49,8.0
2008,IF,D,Pear,1.5,1.99,170.0
2009,VVS1,D,Pear,1.5,1.99,147.0
2010,VVS2,D,Pear,1.5,1.99,132.0
2011,VS1,D,Pear,1.5,1.99,115.0
2012,VS2,D,Pear,1.5,1.99,103.0
2013,SI1,D,Pear,1.5,1.99,89.0
2014,SI2,D,Pear,1.5,1.99,71.0
2015,SI3,D,Pear,1.5,1.99,56.0
2016,I1,D,Pear,1.5,1.99,41.0
2017,I2,D,Pear,1.5,1.99,25.0
2018,I3,D,Pear,1.5,1.99,14.0
2019,IF,E,Pear,1.5,1.99,145.0
2020,VVS1,E,Pear,1.5,1.99,132.0
2021,VVS2,E,Pear,1.5,1.99,117.0
2022,VS1,E,Pear,1.5,1.99,110.0
2023,VS2,E,Pear,1.5,1.99,98.0
2024,SI1,E,Pear,1.5,1.99,87.0
2025,SI2,E,Pear,1.5,1.99,69.0
2026,SI3,E,Pear,1.5,1.99,54.0
2027,I1,E,Pear,1.5,1.99,40.0
2028,I2,E,Pear,1.5,1.99,24.0
2029,I3,E,Pear,1.5,1.99,13.0
2030,IF,F,Pear,1.5,1.99,125.0
2031,VVS1,F,Pear,1.5,1.99,112.0
2032,VVS2,F,Pear,1.5,1.99,105.0
2033,VS1,F,Pear,1.5,1.99,100.0
2034,VS2,F,Pear,1.5,1.99,95.0
2035,SI1,F,Pear,1.5,1.99,84.0
2036,SI2,F,Pear,1.5,1.99,67.0
2037,SI3,F,Pear,1.5,1.99,51.0
2038,I1,F,Pear,1.5,1.99,38.0
2039,I2,F,Pear,1.5,1.99,23.0
2040,I3,F,Pear,1.5,1.99,12.0
2041,IF,G,Pear,1.5,1.99,100.0
2042,VVS1,G,Pear,1.5,1.99,97.0
2043,VVS2,G,Pear,1.5,1.99,94.0
2044,VS1,G,Pear,1.5,1.99,89.0
2045,VS2,G,Pear,1.5,1.99,84.0
2046,SI1,G,Pear,1.5,1.99,78.0
2047,SI2,G,Pear,1.5,1.99,65.0
2048,SI3,G,Pear,1.5,1.99,48.0
2049,I1,G,Pear,1.5,1.99,36.0
2050,I2,G,Pear,1.5,1.99,22.0
2051,I3,G,Pear,1.5,1.99,11.0
2052,IF,H,Pear,1.5,1.99,85.0
2053,VVS1,H,Pear,1.5,1.99,81.0
2054,VVS2,H,Pear,1.5,1.99,79.0
2055,VS1,H,Pear,1.5,1.99,77.0
2056,VS2,H,Pear,1.5,1.99,74.0
2057,SI1,H,Pear,1.5,1.99,70.0
2058,SI2,H,Pear,1.5,1.99,60.0
2059,SI3,H,Pear,1.5,1.99,45.0
2060,I1,H,Pear,1.5,1.99,34.0
2061,I2,H,Pear,1.5,1.99,21.0
2062,I3,H,Pear,1.5,1.99,10.0
2063,IF,I,Pear,1.5,1.99,68.0
2064,VVS1,I,Pear,1.5,1.99,66.0
2065,VVS2,I,Pear,1.5,1.99,65.0
2066,VS1,I,Pear,1.5,1.99,64.0
2067,VS2,I,Pear,1.5,1.99,62.0
2068,SI1,I,Pear,1.5,1.99,59.0
2069,SI2,I,Pear,1.5,1.99,53.0
2070,SI3,I,Pear,1.5,1.99,42.0
2071,I1,I,Pear,1.5,1.99,32.0
2072,I2,I,Pear,1.5,1.99,19.0
2073,I3,I,Pear,1.5,1.99,10.0
2074,IF,J,Pear,1.5,1.99,55.0
2075,VVS1,J,Pear,1.5,1.99,53.0
2076,VVS2,J,Pear,1.5,1.99,51.0
2077,VS1,J,Pear,1.5,1.99,50.0
2078,VS2,J,Pear,1.5,1.99,49.0
2079,SI1,J,Pear,1.5,1.99,48.0
2080,SI2,J,Pear,1.5,1.99,45.0
2081,SI3,J,Pear,1.5,1.99,35.0
2082,I1,J,Pear,1.5,1.99,28.0
2083,I2,J,Pear,1.5,1.99,17.0
2084,I3,J,Pear,1.5,1.99,10.0
2085,IF,K,Pear,1.5,1.99,45.0
2086,VVS1,K,Pear,1.5,1.99,44.0
2087,VVS2,K,Pear,1.5,1.99,42.0
2088,VS1,K,Pear,1.5,1.99,40.0
2089,VS2,K,Pear,1.5,1.99,38.0
2090,SI1,K,Pear,1.5,1.99,37.0
2091,SI2,K,Pear,1.5,1.99,35.0
2092,SI3,K,Pear,1.5,1.99,30.0
2093,I1,K,Pear,1.5,1.99,26.0
2094,I2,K,Pear,1.5,1.99,16.0
2095,I3,K,Pear,1.5,1.99,9.0
2096,IF,L,Pear,1.5,1.99,40.0
2097,VVS1,L,Pear,1.5,1.99,38.0
2098,VVS2,L,Pear,1.5,1.99,37.0
2099,VS1,L,Pear,1.5,1.99,36.0
2100,VS2,L,Pear,1.5,1.99,35.0
2101,SI1,L,Pear,1.5,1.99,33.0
2102,SI2,L,Pear,1.5,1.99,31.0
2103,SI3,L,Pear,1.5,1.99,26.0
2104,I1,L,Pear,1.5,1.99,23.0
2105,I2,L,Pear,1.5,1.99,14.0
2106,I3,L,Pear,1.5,1.99,9.0
2107,IF,M,Pear,1.5,1.99,32.0
2108,VVS1,M,Pear,1.5,1.99,31.0
2109,VVS2,M,Pear,1.5,1.99,30.0
2110,VS1,M,Pear,1.5,1.99,29.0
2111,VS2,M,Pear,1.5,1.99,28.0
2112,SI1,M,Pear,1.5,1.99,26.0
2113,SI2,M,Pear,1.5,1.99,24.0
2114,SI3,M,Pear,1.5,1.99,22.0
2115,I1,M,Pear,1.5,1.99,20.0
2116,I2,M,Pear,1.5,1.99,13.0
2117,I3,M,Pear,1.5,1.99,9.0
2118,IF,D,Pear,2.0,2.99,245.0
2119,VVS1,D,Pear,2.0,2.99,220.0
2120,VVS2,D,Pear,2.0,2.99,200.0
2121,VS1,D,Pear,2.0,2.99,180.0
2122,VS2,D,Pear,2.0,2.99,155.0
2123,SI1,D,Pear,2.0,2.99,125.0
2124,SI2,D,Pear,2.0,2.99,92.0
2125,SI3,D,Pear,2.0,2.99,67.0
2126,I1,D,Pear,2.0,2.99,53.0
2127,I2,D,Pear,2.0,2.99,28.0
2128,I3,D,Pear,2.0,2.99,15.0
2129,IF,E,Pear,2.0,2.99,210.0
2130,VVS1,E,Pear,2.0,2.99,190.0
2131,VVS2,E,Pear,2.0,2.99,175.0
2132,VS1,E,Pear,2.0,2.99,160.0
2133,VS2,E,Pear,2.0,2.99,140.0
2134,SI1,E,Pear,2.0,2.99,120.0
2135,SI2,E,Pear,2.0,2.99,90.0
2136,SI3,E,Pear,2.0,2.99,65.0
2137,I1,E,Pear,2.0,2.99,50.0
2138,I2,E,Pear,2.0,2.99,27.0
2139,I3,E,Pear,2.0,2.99,14.0
2140,IF,F,Pear,2.0,2.99,185.0
2141,VVS1,F,Pear,2.0,2.99,165.0
2142,VVS2,F,Pear,2.0,2.99,155.0
2143,VS1,F,Pear,2.0,2.99,140.0
2144,VS2,F,Pear,2.0,2.99,130.0
2145,SI1,F,Pear,2.0,2.99,115.0
2146,SI2,F,Pear,2.0,2.99,88.0
2147,SI3,F,Pear,2.0,2.99,63.0
2148,I1,F,Pear,2.0,2.99,47.0
2149,I2,F,Pear,2.0,2.99,26.0
2150,I3,F,Pear,2.0,2.99,13.0
2151,IF,G,Pear,2.0,2.99,150.0
2152,VVS1,G,Pear,2.0,2.99,140.0
2153,VVS2,G,Pear,2.0,2.99,135.0
2154,VS1,G,Pear,2.0,2.99,125.0
2155,VS2,G,Pear,2.0,2.99,120.0
2156,SI1,G,Pear,2.0,2.99,105.0
2157,SI2,G,Pear,2.0,2.99,85.0
2158,SI3,G,Pear,2.0,2.99,58.0
2159,I1,G,Pear,2.0,2.99,44.0
2160,I2,G,Pear,2.0,2.99,25.0
2161,I3,G,Pear,2.0,2.99,12.0
2162,IF,H,Pear,2.0,2.99,120.0
2163,VVS1,H,Pear,2.0,2.99,110.0
2164,VVS2,H,Pear,2.0,2.99,105.0
2165,VS1,H,Pear,2.0,2.99,100.0
2166,VS2,H,Pear,2.0,2.99,95.0
2167,SI1,H,Pear,2.0,2.99,90.0
2168,SI2,H,Pear,2.0,2.99,75.0
2169,SI3,H,Pear,2.0,2.99,53.0
2170,I1,H,Pear,2.0,2.99,41.0
2171,I2,H,Pear,2.0,2.99,23.0
2172,I3,H,Pear,2.0,2.99,11.0
2173,IF,I,Pear,2.0,2.99,90.0
2174,VVS1,I,Pear,2.0,2.99,87.0
2175,VVS2,I,Pear,2.0,2.99,84.0
2176,VS1,I,Pear,2.0,2.99,81.0
2177,VS2,I,Pear,2.0,2.99,78.0
2178,SI1,I,Pear,2.0,2.99,75.0
2179,SI2,I,Pear,2.0,2.99,70.0
2180,SI3,I,Pear,2.0,2.99,48.0
2181,I1,I,Pear,2.0,2.99,38.0
2182,I2,I,Pear,2.0,2.99,21.0
2183,I3,I,Pear,2.0,2.99,11.0
2184,IF,J,Pear,2.0,2.99,75.0
2185,VVS1,J,Pear,2.0,2.99,71.0
2186,VVS2,J,Pear,2.0,2.99,69.0
2187,VS1,J,Pear,2.0,2.99,67.0
2188,VS2,J,Pear,2.0,2.99,65.0
2189,SI1,J,Pear,2.0,2.99,62.0
2190,SI2,J,Pear,2.0,2.99,57.0
2191,SI3,J,Pear,2.0,2.99,43.0
2192,I1,J,Pear,2.0,2.99,35.0
2193,I2,J,Pear,2.0,2.99,19.0
2194,I3,J,Pear,2.0,2.99,11.0
2195,IF,K,Pear,2.0,2.99,65.0
2196,VVS1,K,Pear,2.0,2.99,61.0
2197,VVS2,K,Pear,2.0,2.99,59.0
2198,VS1,K,Pear,2.0,2.99,57.0
2199,VS2,K,Pear,2.0,2.99,55.0
2200,SI1,K,Pear,2.0,2.99,53.0
2201,SI2,K,Pear,2.0,2.99,50.0
2202,SI3,K,Pear,2.0,2.99,37.0
2203,I1,K,Pear,2.0,2.99,31.0
2204,I2,K,Pear,2.0,2.99,18.0
2205,I3,K,Pear,2.0,2.99,10.0
2206,IF,L,Pear,2.0,2.99,50.0
2207,VVS1,L,Pear,2.0,2.99,47.0
2208,VVS2,L,Pear,2.0,2.99,45.0
2209,VS1,L,Pear,2.0,2.99,43.0
2210,VS2,L,Pear,2.0,2.99,42.0
2211,SI1,L,Pear,2.0,2.99,40.0
2212,SI2,L,Pear,2.0,2.99,37.0
2213,SI3,L,Pear,2.0,2.99,33.0
2214,I1,L,Pear,2.0,2.99,27.0
2215,I2,L,Pear,2.0,2.99,17.0
2216,I3,L,Pear,2.0,2.99,10.0
2217,IF,M,Pear,2.0,2.99,42.0
2218,VVS1,M,Pear,2.0,2.99,41.0
2219,VVS2,M,Pear,2.0,2.99,40.0
2220,VS1,M,Pear,2.0,2.99,39.0
2221,VS2,M,Pear,2.0,2.99,38.0
2222,SI1,M,Pear,2.0,2.99,36.0
2223,SI2,M,Pear,2.0,2.99,31.0
2224,SI3,M,Pear,2.0,2.99,27.0
2225,I1,M,Pear,2.0,2.99,23.0
2226,I2,M,Pear,2.0,2.99,16.0
2227,I3,M,Pear,2.0,2.99,9.0
2228,IF,D,Pear,3.0,3.99,520.0
2229,VVS1,D,Pear,3.0,3.99,380.0
2230,VVS2,D,Pear,3.0,3.99,330.0
2231,VS1,D,Pear,3.0,3.99,295.0
2232,VS2,D,Pear,3.0,3.99,250.0
2233,SI1,D,Pear,3.0,3.99,180.0
2234,SI2,D,Pear,3.0,3.99,129.0
2235,SI3,D,Pear,3.0,3.99,82.0
2236,I1,D,Pear,3.0,3.99,64.0
2237,I2,D,Pear,3.0,3.99,32.0
2238,I3,D,Pear,3.0,3.99,16.0
2239,IF,E,Pear,3.0,3.99,370.0
2240,VVS1,E,Pear,3.0,3.99,335.0
2241,VVS2,E,Pear,3.0,3.99,305.0
2242,VS1,E,Pear,3.0,3.99,265.0
2243,VS2,E,Pear,3.0,3.99,230.0
2244,SI1,E,Pear,3.0,3.99,170.0
2245,SI2,E,Pear,3.0,3.99,124.0
2246,SI3,E,Pear,3.0,3.99,80.0
2247,I1,E,Pear,3.0,3.99,60.0
2248,I2,E,Pear,3.0,3.99,30.0
2249,I3,E,Pear,3.0,3.99,15.0
2250,IF,F,Pear,3.0,3.99,325.0
2251,VVS1,F,Pear,3.0,3.99,300.0
2252,VVS2,F,Pear,3.0,3.99,265.0
2253,VS1,F,Pear,3.0,3.99,245.0
2254,VS2,F,Pear,3.0,3.99,210.0
2255,SI1,F,Pear,3.0,3.99,160.0
2256,SI2,F,Pear,3.0,3.99,119.0
2257,SI3,F,Pear,3.0,3.99,76.0
2258,I1,F,Pear,3.0,3.99,56.0
2259,I2,F,Pear,3.0,3.99,28.0
2260,I3,F,Pear,3.0,3.99,14.0
2261,IF,G,Pear,3.0,3.99,275.0
2262,VVS1,G,Pear,3.0,3.99,255.0
2263,VVS2,G,Pear,3.0,3.99,235.0
2264,VS1,G,Pear,3.0,3.99,210.0
2265,VS2,G,Pear,3.0,3.99,180.0
2266,SI1,G,Pear,3.0,3.99,140.0
2267,SI2,G,Pear,3.0,3.99,113.0
2268,SI3,G,Pear,3.0,3.99,71.0
2269,I1,G,Pear,3.0,3.99,52.0
2270,I2,G,Pear,3.0,3.99,26.0
2271,I3,G,Pear,3.0,3.99,14.0
2272,IF,H,Pear,3.0,3.99,220.0
2273,VVS1,H,Pear,3.0,3.99,210.0
2274,VVS2,H,Pear,3.0,3.99,195.0
2275,VS1,H,Pear,3.0,3.99,175.0
2276,VS2,H,Pear,3.0,3.99,145.0
2277,SI1,H,Pear,3.0,3.99,120.0
2278,SI2,H,Pear,3.0,3.99,103.0
2279,SI3,H,Pear,3.0,3.99,64.0
2280,I1,H,Pear,3.0,3.99,48.0
2281,I2,H,Pear,3.0,3.99,25.0
2282,I3,H,Pear,3.0,3.99,13.0
2283,IF,I,Pear,3.0,3.99,170.0
2284,VVS1,I,Pear,3.0,3.99,160.0
2285,VVS2,I,Pear,3.0,3.99,150.0
2286,VS1,I,Pear,3.0,3.99,140.0
2287,VS2,I,Pear,3.0,3.99,120.0
2288,SI1,I,Pear,3.0,3.99,110.0
2289,SI2,I,Pear,3.0,3.99,93.0
2290,SI3,I,Pear,3.0,3.99,58.0
2291,I1,I,Pear,3.0,3.99,45.0
2292,I2,I,Pear,3.0,3.99,24.0
2293,I3,I,Pear,3.0,3.99,13.0
2294,IF,J,Pear,3.0,3.99,125.0
2295,VVS1,J,Pear,3.0,3.99,120.0
2296,VVS2,J,Pear,3.0,3.99,110.0
2297,VS1,J,Pear,3.0,3.99,105.0
2298,VS2,J,Pear,3.0,3.99,95.0
2299,SI1,J,Pear,3.0,3.99,88.0
2300,SI2,J,Pear,3.0,3.99,80.0
2301,SI3,J,Pear,3.0,3.99,54.0
2302,I1,J,Pear,3.0,3.99,42.0
2303,I2,J,Pear,3.0,3.99,23.0
2304,I3,J,Pear,3.0,3.99,12.0
2305,IF,K,Pear,3.0,3.99,100.0
2306,VVS1,K,Pear,3.0,3.99,95.0
2307,VVS2,K,Pear,3.0,3.99,90.0
2308,VS1,K,Pear,3.0,3.99,85.0
2309,VS2,K,Pear,3.0,3.99,80.0
2310,SI1,K,Pear,3.0,3.99,72.0
2311,SI2,K,Pear,3.0,3.99,65.0
2312,SI3,K,Pear,3.0,3.99,47.0
2313,I1,K,Pear,3.0,3.99,38.0
2314,I2,K,Pear,3.0,3.99,22.0
2315,I3,K,Pear,3.0,3.99,12.0
2316,IF,L,Pear,3.0,3.99,68.0
2317,VVS1,L,Pear,3.0,3.99,65.0
2318,VVS2,L,Pear,3.0,3.99,62.0
2319,VS1,L,Pear,3.0,3.99,59.0
2320,VS2,L,Pear,3.0,3.99,56.0
2321,SI1,L,Pear,3.0,3.99,53.0
2322,SI2,L,Pear,3.0,3.99,48.0
2323,SI3,L,Pear,3.0,3.99,40.0
2324,I1,L,Pear,3.0,3.99,35.0
2325,I2,L,Pear,3.0,3.99,20.0
2326,I3,L,Pear,3.0,3.99,11.0
2327,IF,M,Pear,3.0,3.99,57.0
2328,VVS1,M,Pear,3.0,3.99,55.0
2329,VVS2,M,Pear,3.0,3.99,53.0
2330,VS1,M,Pear,3.0,3.99,51.0
2331,VS2,M,Pear,3.0,3.99,49.0
2332,SI1,M,Pear,3.0,3.99,45.0
2333,SI2,M,Pear,3.0,3.99,40.0
2334,SI3,M,Pear,3.0,3.99,35.0
2335,I1,M,Pear,3.0,3.99,30.0
2336,I2,M,Pear,3.0,3.99,18.0
2337,I3,M,Pear,3.0,3.99,10.0
2338,IF,D,Pear,4.0,4.99,600.0
2339,VVS1,D,Pear,4.0,4.99,480.0
2340,VVS2,D,Pear,4.0,4.99,440.0
